core/section;mbsf;3He (pcc/g);3He/4He(x10-8);extraterrestrial 3He (pcc/g);3 He +/-;Carbonate Fraction;DBD (g/cm3);LSR (cm/kyr);LSR +/- 2 sigma;mean Depth (mbsf);Thickness (cm)
19H-4W-40-41;171.83;0.217598735;26.13849029;0.184299385;0.016649676;0.872572424;1.277730769;2.913136783;0.436970518;171.855;5
19H-4W-45-46;171.88;0.35257961;40.60448934;0.317846556;0.017366528;0.820316003;1.247846154;1.729599538;0.259439931;171.905;5
19H-4W-50-51;171.93;0.288395559;33.83635963;0.254302592;0.017046484;0.863532234;1.258346154;2.143745391;0.321561809;171.955;5
19H-4W-55-56;171.98;0.209226931;28.9877964;0.180355902;0.014435515;0.863532234;1.259961538;3.018814791;0.452822219;172.005;5
19H-4W-60-61;172.03;0.375485578;67.26895846;0.353158172;0.011163704;0.900497947;1.238961538;1.567822999;0.23517345;172.055;5
19H-4W-65-66;172.08;0.342958072;65.37770413;0.321974902;0.010491585;0.893525966;1.257538462;1.694262971;0.254139446;172.105;5
19H-4W-70-71;172.13;0.216151627;47.09041308;0.197791071;0.009180278;0.915839256;1.248653846;2.777636264;0.41664544;172.155;5
19H-4W-75-76;172.18;0.220341405;38.90475447;0.197686968;0.011327219;0.902446413;1.339923077;2.589799892;0.388469984;172.205;5
19H-4W-80-81;172.23;0.219865244;38.50519706;0.197025192;0.011420026;0.902446413;1.278538462;2.723256558;0.408488484;172.25;4
19H-4W-84-85;172.27;0.531570002;84.03988064;0.506269177;0.012650413;0.876995314;1.278538462;1.059811997;0.1589718;172.3;6
19H-4W-90-91;172.33;0.293690598;33.4671287;0.258588631;0.017550984;0.860052789;1.317307692;2.013851586;0.302077738;172.355;5
19H-4W-95-96;172.38;0.464937147;33.50508878;0.409430712;0.027753219;0.816678704;1.336692308;1.25346511;0.188019767;172.39;2
19H-4W-97-98;172.4;0.312957834;38.87944695;0.280760079;0.016098878;0.814894042;1.336692308;1.827920533;0.27418808;172.435;7
